abacelar  embacelar
abaixar  acocorar
abalroada  colisão
abalroar  contender
abananado  apombocado
abanar  balouçar
abandonar  negar
abarregar-se  juntar-se
abatimento  quebrantamento
abeirante  rente
abelhudo  metido
aberta  abertão
aberto  aprofundado
abespinhado  sanhoso
abespinhável  anojadiço
abestalhado  atroado
abilolado  desabotinado
abiúdo  adiantado
abluente  detergente
abobadado  recurvado
abobalhado  apatetado
abodegar  enquizilar
abolorentar  mofar
abominoso  aborrecido
abonecar-se  ajaezar-se
aborrido  maçante
abracadabrante  mágico
abracável  abrangível
abranger-se  incluir-se
abrangência  encerramento
abreviado  encondensado
abrigado  amparado
abrigar  garantir
abrilhantado  adereçado
abrilhantar  avivar
absolver  escusar
absorver-se  empregar-se
abstruso  esconso
abugalhar-se  arregalar-se
acabado  encerrado
acabar  executar
acabrunhado  aniquilado
acairelar  cairelar
acalentar  bafejar
acariciador  amimador
acasmurrado  porfiado
acender  espicaçar
acerbidade  austeridade
aceso  arremessado
acessível  comunicativo
achambonado  achavascado
achatadura  amolgadura
aclimado  avezado
acobardado  atemorado
acontecimento  evento
acordar  concitar
acotovelar  esporar
acovar  cravar
acroase  dissertação
acurado  aprimorado
adamado  alfeninado
adelgaçar  engoiar-se
adensar  condensar
adereçado  aparamentado
adinamizar  desvigorizar
adiposidade  corpulência
adjudicar  concatenar
administrar  governar
admirado  banzado
admissão  aprovação
adocicado  melífluo
adomar  temperar
adstringir-se  restringir-se
adulterado  contrafeito
adulterar  extraviar
adversidade  contratempo
afadigado  afanado
afanar  ladroar
afanoso  fatigante
afastamento  apartada
afastar  retirar
afazer  avezar
afeiar  desguarnecer
aferrado  insistente
afetar  irritar
afetível  simpático
afiambrar  galanear
afiar  esmerilar
afilado  apuado
afincado  tenaz
aflar  inspirar
aflitivo  dilacerante
afluir  refluir
aforismal  aforístico
aformosear  embrincar
aformosentar  ajaezar
afouteza  coragem
afouto  teso
afrouxar  malear
afrouxar-se  entorpecer
agarrar  garrear
agastadiço  tomadiço
agastado  enraivecido
agastamento  arrelia
agenda  caderneta
agigantear  agravar
agitado  fremente
agitar  desassossegar
agoirar  profetizar
agradável  macio
agregar-se  consociar-se
agrestia  rudeza
aguilhoar  inflamar
agência  diligência
aiar  ulular
ainda  demais
alagado  arrasado
alambazado  lambaz
alanhar  ansiar
alar  guindar
alardear-se  gargantear
alarmar  ariscar
albergar  asilar
albergaria  poisada
alborcar  cambar
alcagüetar  dedo-durar
alcantilado  alcantiloso
alcançar  depreender
aldeia  póvoa
alegre  travesso
aleijar  jarretar
alentado  encorajado
alentoso  alto
alfaiado  engalanado
alfobre  alfofre
algazarra  babel
alhanado  igualado
alijar  cuspir
alojamento  instalação
aloucar  variar
alquebrado  debilitado
altaragem  voto
alterar  danar
alto  exímio
aluir  dirruir
alvear  dealvar
alúvio  inundação
amadurar-se  amadurecer-se
amarasmeado  letárgico
amarfanhar  torturar
ameigar  ceder
amenoso  suave
amenta  voz
amical  amistoso
amodorrar-se  imergir-se
amolar  massacrar
amolgar  prostrar
amontoar  conglobar
amorenado  bronzeado
amortecer-se  esmaecer
andar  operar
anegrado  negrusco
animoso  brioso
aniquilado  apeado
anojadiço  azougado
anojar  entediar
antagônico  contraditório
anteferir  preferir
antidemocrata  antidemocrático
antipático  contrário
antitético  oposto
anunciar  expedir
anátema  excomungação
anúncio  vaticínio
apagar  debotar
apaixonante  sedutor
apalermado  tolo
